food_code,main_food_description,wweia_category_description,energy_(kcal),protein_(g),carbohydrate_(g),"sugars,_total_(g)","fiber,_total_dietary_(g)",total_fat_(g),"fatty_acids,_total_saturated_(g)","fatty_acids,_total_monounsaturated_(g)","fatty_acids,_total_polyunsaturated_(g)",cholesterol_(mg)
24134100,"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten","Chicken, whole pieces",228,22.65,0.0,0.0,0.0,14.52,3.732,6.111,3.32,128
24134101,"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten","Chicken, whole pieces",183,23.87,0.0,0.0,0.0,8.96,2.2,3.652,2.219,128
24134150,"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten","Chicken, whole pieces",220,18.64,7.28,5.94,0.2,12.32,3.101,5.154,2.867,105
24134151,"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten","Chicken, whole pieces",183,19.63,7.28,5.94,0.2,7.79,1.851,3.148,1.969,105
24134300,"Chicken leg, drumstick and thigh, sauteed, skin eaten","Chicken, whole pieces",228,22.65,0.0,0.0,0.0,14.52,3.732,6.111,3.32,128
24134301,"Chicken leg, drumstick and thigh, sauteed, skin not eaten","Chicken, whole pieces",183,23.87,0.0,0.0,0.0,8.96,2.2,3.652,2.219,128
24137300,"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten","Chicken, whole pieces",260,19.04,5.98,0.1,0.2,17.2,3.746,7.2,4.78,105
24137301,"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten","Chicken, whole pieces",183,23.92,0.0,0.0,0.0,8.98,2.205,3.659,2.224,128
24137310,"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten","Chicken, whole pieces",226,20.99,3.98,0.07,0.2,13.4,3.412,5.605,3.104,117
24137311,"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten","Chicken, whole pieces",183,23.87,0.0,0.0,0.0,8.96,2.2,3.652,2.219,128
24140210,"Chicken drumstick, NS as to cooking method, skin eaten","Chicken, whole pieces",206,25.65,0.12,0.12,0.0,11.46,2.855,4.75,1.523,149
24140220,"Chicken drumstick, NS as to cooking method, skin not eaten","Chicken, whole pieces",172,27.71,0.0,0.0,0.0,6.76,1.573,2.827,1.029,155
24142300,"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw","Chicken, whole pieces",190,23.21,0.0,0.0,0.0,10.09,2.724,4.13,2.071,129
24142301,"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw","Chicken, whole pieces",154,24.1,0.0,0.0,0.0,5.67,1.496,2.168,1.195,129
24142310,"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked","Chicken, whole pieces",206,25.65,0.12,0.12,0.0,11.46,2.855,4.75,1.523,149
24142311,"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked","Chicken, whole pieces",172,27.71,0.0,0.0,0.0,6.76,1.573,2.827,1.029,155
24142320,"Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant","Chicken, whole pieces",203,22.66,0.0,0.0,0.0,11.83,2.923,4.871,2.782,126
24142321,"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant","Chicken, whole pieces",168,23.52,0.0,0.0,0.0,7.51,1.725,2.955,1.927,126
24142400,"Chicken drumstick, rotisserie, skin eaten","Chicken, whole pieces",206,25.65,0.12,0.12,0.0,11.46,2.855,4.75,1.523,149
24142401,"Chicken drumstick, rotisserie, skin not eaten","Chicken, whole pieces",172,27.71,0.0,0.0,0.0,6.76,1.573,2.827,1.029,155
24142500,"Chicken drumstick, grilled without sauce, skin eaten","Chicken, whole pieces",204,22.7,0.0,0.0,0.0,11.85,2.929,4.88,2.787,126
24142501,"Chicken drumstick, grilled without sauce, skin not eaten","Chicken, whole pieces",169,23.57,0.0,0.0,0.0,7.53,1.728,2.961,1.931,126
24142510,"Chicken drumstick, grilled with sauce, skin eaten","Chicken, whole pieces",200,18.68,7.28,5.94,0.2,10.15,2.448,4.153,2.433,103
24142511,"Chicken drumstick, grilled with sauce, skin not eaten","Chicken, whole pieces",172,19.39,7.28,5.94,0.2,6.62,1.468,2.586,1.734,103
24143210,"Chicken drumstick, stewed, skin eaten","Chicken, whole pieces",186,22.54,0.0,0.0,0.0,10.64,2.916,4.457,2.214,131
